Time resolution is 1 ps
A = 0, B = 0, Cin = 0, S = x, Cout = x
A = 0, B = 0, Cin = 0, S = 0, Cout = 0
A = 0, B = 0, Cin = 1, S = 1, Cout = 0
A = 0, B = 1, Cin = 0, S = 1, Cout = 0
A = 0, B = 1, Cin = 1, S = 0, Cout = 1
A = 1, B = 0, Cin = 0, S = 1, Cout = 0
A = 1, B = 0, Cin = 1, S = 0, Cout = 1
A = 1, B = 1, Cin = 0, S = 0, Cout = 1
A = 1, B = 1, Cin = 1, S = 1, Cout = 1
A = 0, B = 0, Cin = 0, S = 0, Cout = 0
A = 0, B = 0, Cin = 1, S = 1, Cout = 0
$finish called at time : 10 ns : File "C:/Users/User/Documents/Projects/HW1/HW1.srcs/sim_1/new/Full_Adder_tb.v" Line 49
